Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;
ene-23;VERDURAS Y HORTALIZAS;Ají topito dulce;Cartagena, Bazurto; 5.616 ;;
ene-23;VERDURAS Y HORTALIZAS;Ají topito dulce;Medellín, Central Mayorista de Antioquia; 5.368 ;;
ene-23;VERDURAS Y HORTALIZAS;Ají topito dulce;Montería, Mercado del Sur; 5.964 ;;
ene-23;VERDURAS Y HORTALIZAS;Ají topito dulce;Sincelejo, Nuevo Mercado; 5.798 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Bogotá, D.C., Corabastos; 12.805 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Chiquinquirá (Boyacá); 5.300 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Cúcuta, Cenabastos; 4.065 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Duitama (Boyacá), Mercaplaza; 5.283 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Ipiales (Nariño), Ipiales somos todos; 9.083 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Manizales, Centro Galerías; 8.796 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Medellín, Central Mayorista de Antioquia; 10.974 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Pamplona (Norte de Santander); 4.375 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Pasto, El Potrerillo; 9.448 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Pereira, La 41; 9.407 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Pereira, Mercasa; 9.157 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;San Gil (Santander); 11.556 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Tibasosa (Boyacá), Coomproriente; 4.944 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Tunja, Complejo de Servicios del Sur; 4.541 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Túquerres (Nariño); 9.714 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Villavicencio, CAV; 6.469 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo;Yopal (Casanare); 7.844 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Arauca (Arauca); 7.061 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Armenia, Mercar; 11.487 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Barranquilla, Barranquillita; 6.536 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Barranquilla, Granabastos; 6.673 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Bogotá, D.C., Corabastos; 6.414 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Bucaramanga, Centroabastos; 6.981 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Buenaventura (Valle del Cauca); 7.374 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Cali, Cavasa; 6.161 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Cali, Santa Elena; 5.989 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Cartagena, Bazurto; 6.476 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Cartago (Valle del Cauca); 6.730 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Cúcuta, Cenabastos; 6.647 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Ibagué, Plaza La 21; 7.122 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Ipiales (Nariño), Ipiales somos todos; 6.657 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Manizales, Centro Galerías; 7.463 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Medellín, Central Mayorista de Antioquia; 6.363 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;"Medellín, Plaza Minorista ""José María Villa"""; 6.172 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Montería, Mercado del Sur; 6.000 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Neiva, Surabastos; 6.284 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Palmira (Valle del Cauca); 6.161 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Pasto, El Potrerillo; 6.192 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Pereira, La 41; 7.289 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Pereira, Mercasa; 6.444 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Popayán, Plaza de mercado del barrio Bolívar; 6.488 ;;
ene-23;VERDURAS Y HORTALIZAS;Ajo importado;Sincelejo, Nuevo Mercado; 6.214 ;;
