Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;;;
ene-22;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Tunja, Complejo de Servicios del Sur; 970 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Villavicencio, CAV; 948 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ahuyamín (Sakata);Yopal (Casanare); 1.160 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ají topito dulce;Cartagena, Bazurto; 3.673 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ají topito dulce;Medellín, Central Mayorista de Antioquia; 4.279 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ají topito dulce;Montería, Mercado del Sur; 3.461 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ají topito dulce;Sincelejo, Nuevo Mercado; 3.128 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Bogotá, D.C., Corabastos; 9.608 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Chiquinquirá (Boyacá); 3.925 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Cúcuta, Cenabastos; 3.071 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Duitama (Boyacá), Mercaplaza; 3.367 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Ipiales (Nariño), Ipiales somos todos; 8.152 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Manizales, Centro Galerías; 7.292 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Medellín, Central Mayorista de Antioquia; 7.958 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Pamplona (Norte de Santander); 2.958 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Pasto, El Potrerillo; 8.327 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Pereira, La 41; 7.106 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Pereira, Mercasa; 7.380 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;San Gil (Santander); 4.413 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Tibasosa (Boyacá), Coomproriente; 3.478 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Tunja, Complejo de Servicios del Sur; 3.556 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Túquerres (Nariño); 9.042 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Villavicencio, CAV; 4.712 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo;Yopal (Casanare); 5.375 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Arauca (Arauca); 9.971 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Armenia, Mercar; 9.550 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Barranquilla, Barranquillita; 8.550 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Barranquilla, Granabastos; 8.595 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Bogotá, D.C., Corabastos; 9.469 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Bucaramanga, Centroabastos; 8.819 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Buenaventura (Valle del Cauca); 9.458 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Cali, Cavasa; 8.372 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Cali, Santa Elena; 8.072 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Cartagena, Bazurto; 8.377 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Cartago (Valle del Cauca); 10.313 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Cúcuta, Cenabastos; 9.413 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Ibagué, Plaza La 21; 9.870 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Ipiales (Nariño), Ipiales somos todos; 8.500 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Manizales, Centro Galerías; 10.556 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Medellín, Central Mayorista de Antioquia; 8.650 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;"Medellín, Plaza Minorista ""José María Villa"""; 8.350 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Montería, Mercado del Sur; 8.269 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Neiva, Surabastos; 9.112 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Palmira (Valle del Cauca); 8.613 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Pasto, El Potrerillo; 8.548 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Pereira, La 41; 10.000 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Pereira, Mercasa; 8.979 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Popayán, Plaza de mercado del barrio Bolívar; 9.209 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Sincelejo, Nuevo Mercado; 8.195 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Tuluá (Valle del Cauca); 9.444 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Ajo importado;Valledupar, Mercabastos; 8.653 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Arauca (Arauca); 2.490 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Armenia, Mercar; 1.179 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Barranquilla, Barranquillita; 1.858 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Barranquilla, Granabastos; 1.845 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Bogotá, D.C., Corabastos; 1.365 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Bucaramanga, Centroabastos; 1.176 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Cali, Cavasa; 1.557 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Cali, Santa Elena; 1.532 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Cartagena, Bazurto; 1.831 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Cartago (Valle del Cauca); 2.338 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Chiquinquirá (Boyacá); 898 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Cúcuta, Cenabastos; 1.681 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Duitama (Boyacá), Mercaplaza; 983 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Ibagué, Plaza La 21; 1.532 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Ipiales (Nariño), Ipiales somos todos; 3.000 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Manizales, Centro Galerías; 2.074 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Marinilla (Antioquia); 815 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Medellín, Central Mayorista de Antioquia; 1.126 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;"Medellín, Plaza Minorista ""José María Villa"""; 1.171 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Montería, Mercado del Sur; 1.500 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Neiva, Surabastos; 1.748 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Palmira (Valle del Cauca); 2.338 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Pamplona (Norte de Santander); 1.375 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Pereira, La 41; 2.545 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Pereira, Mercasa; 2.707 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Rionegro (Antioquia); 1.231 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Santa Marta (Magdalena); 1.960 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Sincelejo, Nuevo Mercado; 1.546 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Tibasosa (Boyacá), Coomproriente; 882 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Tuluá (Valle del Cauca); 2.367 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Tunja, Complejo de Servicios del Sur; 1.307 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Valledupar, Mercabastos; 1.989 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Apio;Villavicencio, CAV; 1.996 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Arauca (Arauca); 3.607 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Armenia, Mercar; 4.160 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Barranquilla, Barranquillita; 7.922 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Barranquilla, Granabastos; 6.853 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Bogotá, D.C., Corabastos; 4.282 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Bucaramanga, Centroabastos; 3.818 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Cartago (Valle del Cauca); 4.060 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Chiquinquirá (Boyacá); 2.844 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Cúcuta, Cenabastos; 3.817 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Duitama (Boyacá), Mercaplaza; 2.788 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;El Carmen de Viboral (Antioquia); 3.756 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;El Santuario (Antioquia); 3.585 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Ibagué, Plaza La 21; 3.904 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;La Ceja (Antioquia); 3.873 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Manizales, Centro Galerías; 4.311 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Marinilla (Antioquia); 3.529 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Medellín, Central Mayorista de Antioquia; 3.851 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;"Medellín, Plaza Minorista ""José María Villa"""; 4.125 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Neiva, Surabastos; 3.738 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Palmira (Valle del Cauca); 3.514 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Pamplona (Norte de Santander); 3.321 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Pereira, La 41; 4.155 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Pereira, Mercasa; 4.223 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Rionegro (Antioquia); 4.005 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;San Gil (Santander); 4.070 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;San Vicente (Antioquia); 3.719 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Socorro (Santander); 3.267 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Sonsón (Antioquia); 3.423 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Tibasosa (Boyacá), Coomproriente; 3.226 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Tuluá (Valle del Cauca); 3.990 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Tunja, Complejo de Servicios del Sur; 2.879 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Villavicencio, CAV; 4.173 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina;Yopal (Casanare); 3.620 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Bogotá, D.C., Corabastos; 2.917 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Cali, Cavasa; 3.775 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Cali, Santa Elena; 3.775 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;La Unión (Nariño); 3.394 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Medellín, Central Mayorista de Antioquia; 3.748 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Pasto, El Potrerillo; 3.412 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Popayán, Plaza de mercado del barrio Bolívar; 3.320 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Berenjena;Barranquilla, Barranquillita; 977 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Berenjena;Bogotá, D.C., Corabastos; 2.111 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Berenjena;Manizales, Centro Galerías; 2.611 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Berenjena;Medellín, Central Mayorista de Antioquia; 2.100 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Berenjena;Montería, Mercado del Sur; 2.363 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Armenia, Mercar; 2.150 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Barranquilla, Barranquillita; 8.000 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Barranquilla, Granabastos; 6.552 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Bogotá, D.C., Corabastos; 3.997 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Bucaramanga, Centroabastos; 3.820 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Cali, Santa Elena; 2.671 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Cartagena, Bazurto; 6.000 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Chiquinquirá (Boyacá); 1.675 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Cúcuta, Cenabastos; 4.573 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Duitama (Boyacá), Mercaplaza; 1.983 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Ibagué, Plaza La 21; 2.038 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Ipiales (Nariño), Ipiales somos todos; 1.580 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Manizales, Centro Galerías; 4.083 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Marinilla (Antioquia); 1.912 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Medellín, Central Mayorista de Antioquia; 3.358 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;"Medellín, Plaza Minorista ""José María Villa"""; 2.911 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Neiva, Surabastos; 5.329 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Palmira (Valle del Cauca); 1.813 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Pamplona (Norte de Santander); 2.917 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Pasto, El Potrerillo; 1.260 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Pereira, Mercasa; 2.533 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Tibasosa (Boyacá), Coomproriente; 1.817 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Tunja, Complejo de Servicios del Sur; 2.372 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Túquerres (Nariño); 955 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Brócoli;Villavicencio, CAV; 3.892 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabacín;Bogotá, D.C., Corabastos; 1.122 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabacín;Bucaramanga, Centroabastos; 1.591 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabacín;Duitama (Boyacá), Mercaplaza; 804 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabacín;Medellín, Central Mayorista de Antioquia; 2.468 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabacín;"Medellín, Plaza Minorista ""José María Villa"""; 2.885 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabacín;Tibasosa (Boyacá), Coomproriente; 791 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabacín;Tunja, Complejo de Servicios del Sur; 898 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabaza;Bogotá, D.C., Corabastos; 428 ;;;;
ene-22;VERDURAS Y HORTALIZAS;Calabaza;Cúcuta, Cenabastos; 911 ;;;;
